"","ImageNumber","ObjectNumber","BRCA1_Count","rH2AX_Count","Intensity_DAPI","Intensity_BRCA1","MeanIntensity_BRCA1_foci","MeanIntensity_rH2AX_foci","sample","treat","replicate"
"1",1,1,21,47,160.233982414473,26.2185093523003,0.0346600241433032,0.0376559415696824,"FUSClone110","15min","R3"
"2",1,2,21,42,184.377066300251,19.0092165982351,0.0290327991672319,0.0359187114541582,"FUSClone110","15min","R3"
"3",1,3,30,60,188.720531793078,36.8672162457369,0.0306464095432476,0.0343869817090841,"FUSClone110","15min","R3"
"4",1,4,20,58,159.634424918098,25.637628971599,0.0296592391485627,0.0340061272202739,"FUSClone110","15min","R3"
"5",1,5,38,69,312.393378465204,40.8092014694121,0.0308471920329563,0.0371051425899804,"FUSClone110","15min","R3"
"6",1,6,18,56,185.321340380935,23.0608073635958,0.029225811732321,0.035657579403076,"FUSClone110","15min","R3"
"7",1,7,68,67,408.751813168637,70.9755097317975,0.0306762104127802,0.0330876527767072,"FUSClone110","15min","R3"
"8",1,8,30,51,171.659144737292,35.4311897018924,0.0278163313186808,0.0359450291543243,"FUSClone110","15min","R3"
"9",1,9,7,40,112.962631127331,13.2609904017299,0.0263032807874369,0.0378420181706932,"FUSClone110","15min","R3"
"10",1,10,31,52,363.615244877758,34.9666593037546,0.0291078692395644,0.0331349728295265,"FUSClone110","15min","R3"
"11",1,11,4,40,215.774563814979,14.503868276719,0.0279076138753086,0.0377001436232144,"FUSClone110","15min","R3"
"12",1,12,24,38,265.110323563218,32.9259939803742,0.0275494141214739,0.0371407858085509,"FUSClone110","15min","R3"
"13",1,13,3,39,168.13682806259,11.1336996324826,0.0290323277632336,0.0350240822438004,"FUSClone110","15min","R3"
"14",1,14,4,42,192.563653625082,12.0301214128267,0.0267980214395922,0.0374131363139474,"FUSClone110","15min","R3"
"15",1,15,0,46,179.813001303701,2.3071641291026,0,0.0389748659890933,"FUSClone110","15min","R3"
"16",1,16,7,46,170.862211551517,15.8184787977953,0.0323565692275684,0.0353422876563143,"FUSClone110","15min","R3"
"17",1,17,2,41,188.191882758634,9.07618836010806,0.0262940196303784,0.0407425755879199,"FUSClone110","15min","R3"
