"","ImageNumber","ObjectNumber","BRCA1_Count","rH2AX_Count","Intensity_DAPI","Intensity_BRCA1","MeanIntensity_BRCA1_foci","MeanIntensity_rH2AX_foci","sample","treat","replicate"
"1",1,1,3,47,102.770443795016,14.2639049105346,0.031102351564118,0.0359959602073916,"FUSClone110","15min","R1"
"2",1,2,24,56,147.192798451521,42.8732894151472,0.0258058799581737,0.0316974714812502,"FUSClone110","15min","R1"
"3",1,3,16,35,159.747524753911,23.7311514168978,0.0327445036458823,0.0338948833227834,"FUSClone110","15min","R1"
"4",1,4,49,63,193.600687430007,49.9088429878466,0.0249155015281714,0.0332607318612501,"FUSClone110","15min","R1"
"5",1,5,3,57,171.574334944133,14.9021745477803,0.0221014218146188,0.0374413661738096,"FUSClone110","15min","R1"
"6",1,6,0,44,117.297719217371,3.28496225969866,0,0.0332280430346814,"FUSClone110","15min","R1"
"7",1,7,30,51,242.599222444464,29.2728925214615,0.0312894034801929,0.0316070487680558,"FUSClone110","15min","R1"
"8",1,8,24,44,184.183063040022,23.6111392381135,0.0310225153611682,0.0319119011202827,"FUSClone110","15min","R1"
"9",1,9,24,57,122.559381052852,25.2003663999494,0.0304450815350887,0.0339900608223886,"FUSClone110","15min","R1"
"10",1,10,36,55,283.998947874643,34.0466317946557,0.0319884648341785,0.0334450233551627,"FUSClone110","15min","R1"
"11",1,11,18,45,189.576410145732,21.6798047884367,0.0319928679430472,0.0355849823608835,"FUSClone110","15min","R1"
"12",1,12,23,62,174.037049559178,29.1743650420103,0.0276320395509686,0.031007071601456,"FUSClone110","15min","R1"
"13",1,13,36,56,243.845182776218,37.3273673094809,0.0313641417098601,0.0317716375817143,"FUSClone110","15min","R1"
"14",1,14,31,58,270.380209932569,34.4602886138018,0.0307145474067565,0.0329678751864407,"FUSClone110","15min","R1"
"15",1,15,22,59,138.69964200235,23.6458840160631,0.0308567552868132,0.0353768574878435,"FUSClone110","15min","R1"
"16",1,16,41,79,214.426093808142,40.3928895762656,0.0326973636531024,0.0351505261134009,"FUSClone110","15min","R1"
"17",1,17,1,55,206.454307520529,9.69796299445443,0.0232020367614248,0.036352885628926,"FUSClone110","15min","R1"
"18",1,18,56,68,168.65578782768,54.1389032115694,0.0299045290096757,0.0327549869329761,"FUSClone110","15min","R1"
"19",1,19,6,43,138.852018507197,12.2280309335329,0.0299314123293799,0.0350601155765465,"FUSClone110","15min","R1"
"20",1,20,47,83,294.035569748143,46.2876328818966,0.0312706962641559,0.0341325624670145,"FUSClone110","15min","R1"
"21",1,21,2,35,152.072587730829,8.1994355020579,0.0254520485177636,0.0349444391887723,"FUSClone110","15min","R1"
"22",1,22,34,51,201.428840222536,34.1907685354818,0.0294036629324098,0.0324301683561738,"FUSClone110","15min","R1"
"23",1,23,28,51,108.688335017767,31.9006182146259,0.0299898206343499,0.0336068425608808,"FUSClone110","15min","R1"
"24",1,24,6,30,84.4377055477817,9.95185789070092,0.0248747842959818,0.0325168279035174,"FUSClone110","15min","R1"
"25",1,25,0,39,56.4767990550026,2.15732053620741,0,0.0335923124931513,"FUSClone110","15min","R1"
"26",1,26,22,76,201.371161331888,27.0225530317985,0.0273519309424802,0.0400454657565173,"FUSClone110","15min","R1"
"27",1,27,13,60,152.005783789791,27.8456247160211,0.02450373758699,0.0353791715133508,"FUSClone110","15min","R1"
"28",2,1,3,38,101.486671680585,9.70778980222531,0.0333599943891858,0.0372831026816533,"FUSClone110","15min","R1"
"29",2,2,0,61,146.944274577079,7.9856413337402,0,0.0365233507471345,"FUSClone110","15min","R1"
"30",2,3,25,62,220.47391543258,28.8557261589449,0.0311324337157071,0.0339343368687291,"FUSClone110","15min","R1"
"31",2,4,1,37,141.777798711788,8.58966971305199,0.0300877394154668,0.0356471027175692,"FUSClone110","15min","R1"
"32",2,5,0,34,94.1963992889505,4.49243918387219,0,0.0390970588239228,"FUSClone110","15min","R1"
"33",2,6,35,87,320.677486152621,40.7116505512968,0.0320197236404985,0.0362273747751987,"FUSClone110","15min","R1"
"34",2,7,16,48,199.193362982711,17.5239796594251,0.0338261239750557,0.035382442231798,"FUSClone110","15min","R1"
"35",2,8,0,55,104.557931392919,7.11943243187852,0,0.0369510976824744,"FUSClone110","15min","R1"
"36",2,9,0,49,234.024979691487,1.44698253716342,0,0.0326556293114093,"FUSClone110","15min","R1"
"37",2,10,0,52,113.708842991386,1.27045091241598,0,0.0368744558633475,"FUSClone110","15min","R1"
"38",2,11,4,68,181.402228635969,16.6122531241272,0.0285260344283994,0.0357445704304461,"FUSClone110","15min","R1"
"39",2,12,2,45,170.114992534742,9.78907462675124,0.0267490125325922,0.0363874229905935,"FUSClone110","15min","R1"
"40",2,13,2,38,225.193363061175,10.1165027150419,0.0314091709908098,0.0430002815225398,"FUSClone110","15min","R1"
"41",2,14,0,50,235.7992681826,8.0286717840936,0,0.041151259067191,"FUSClone110","15min","R1"
"42",2,15,0,43,87.1191429211758,6.67495238012634,0,0.0375799858503991,"FUSClone110","15min","R1"
"43",2,16,0,58,144.367910907837,8.38748767413199,0,0.0386640568681784,"FUSClone110","15min","R1"
