"","ImageNumber","ObjectNumber","BRCA1_Count","rH2AX_Count","Intensity_DAPI","Intensity_BRCA1","MeanIntensity_BRCA1_foci","MeanIntensity_rH2AX_foci","sample","treat","replicate"
"1",1,1,1,53,88.0696273657959,8.67696659453213,0.0231598045469986,0.0346434838023792,"FUSClone110","15min","R2"
"2",1,2,20,36,117.893309410661,25.5247121811844,0.0269173735620332,0.0278527084054542,"FUSClone110","15min","R2"
"3",1,3,29,37,178.075380210532,38.6739454923663,0.0291005830351488,0.0316557537579835,"FUSClone110","15min","R2"
"4",1,4,0,47,114.932769240811,8.41036095400341,0,0.0346245801922475,"FUSClone110","15min","R2"
"5",1,5,1,36,132.375540389679,10.604944007704,0.0235668658702211,0.0355943487737786,"FUSClone110","15min","R2"
"6",1,6,13,30,147.245991202071,15.7808958422393,0.0259289450516573,0.0309512339491379,"FUSClone110","15min","R2"
"7",1,7,11,35,211.828535048058,14.0685283388011,0.0286289226678846,0.0332319530904477,"FUSClone110","15min","R2"
"8",1,8,25,25,117.698970549274,25.8998856910039,0.0308772517557254,0.0303029512267765,"FUSClone110","15min","R2"
"9",1,9,34,40,141.254795692395,28.6153355049901,0.0269553060638856,0.0284283119662534,"FUSClone110","15min","R2"
"10",1,10,12,39,184.222766880644,14.4209049679339,0.0315423583106665,0.0370273488273012,"FUSClone110","15min","R2"
"11",1,11,10,46,184.741222826997,14.9837339769583,0.0332230134720004,0.0336813545412854,"FUSClone110","15min","R2"
"12",1,12,22,53,287.878005033825,27.5326316384599,0.0304598287232416,0.0337069690496911,"FUSClone110","15min","R2"
"13",1,13,43,77,259.482964152005,44.9493860632647,0.0314491965669574,0.0336850993031424,"FUSClone110","15min","R2"
"14",1,14,25,42,310.39223396359,26.1531549612992,0.0301164717165919,0.0324518511897028,"FUSClone110","15min","R2"
"15",1,15,36,78,190.441871502204,37.9205770406406,0.0306962002216973,0.0340723097372209,"FUSClone110","15min","R2"
"16",1,16,1,39,213.05052323523,9.40389113640413,0.0289021134376526,0.0318612353744633,"FUSClone110","15min","R2"
"17",1,17,12,57,250.617716479581,27.4586101393215,0.0241797595792087,0.036887806376911,"FUSClone110","15min","R2"
"18",1,18,3,38,196.370977915125,10.5228352099657,0.0251033898138513,0.0334595875479855,"FUSClone110","15min","R2"
"19",1,19,20,53,134.324361633742,30.6678418728989,0.0260865900750856,0.0317897012460978,"FUSClone110","15min","R2"
"20",1,20,19,38,99.6941334235016,20.8820784406271,0.0299495148999723,0.0337890014363806,"FUSClone110","15min","R2"
"21",1,21,0,41,159.757046455285,10.3728390363976,0,0.0367058643006395,"FUSClone110","15min","R2"
"22",1,22,34,74,289.183521173894,37.2962083911989,0.0274625668932476,0.0340896998021038,"FUSClone110","15min","R2"
"23",1,23,6,45,273.573343300959,21.2233617494348,0.0245963315951194,0.0325265951943943,"FUSClone110","15min","R2"
"24",1,24,22,47,209.856169109466,26.6685589882545,0.032929433023138,0.0319136869662379,"FUSClone110","15min","R2"
"25",1,25,17,45,117.746273528086,19.7016099777538,0.031704949818261,0.0338394453667674,"FUSClone110","15min","R2"
"26",1,26,4,41,158.688106166199,12.0207371225115,0.0247784521721013,0.0380987165453665,"FUSClone110","15min","R2"
"27",1,27,16,35,196.005265088985,22.4686810248531,0.0292023112413721,0.0299253686982481,"FUSClone110","15min","R2"
"28",1,28,13,49,155.502098641824,18.5165943361353,0.0304657910883927,0.0350382765746777,"FUSClone110","15min","R2"
"29",1,29,6,31,128.237919206498,11.3515679503325,0.0333029611936034,0.0368678657410666,"FUSClone110","15min","R2"
"30",1,30,15,45,130.876188903581,17.5414359767456,0.0317758876886985,0.0309600382961104,"FUSClone110","15min","R2"
"31",2,1,0,71,113.384695785586,5.8616007277742,0,0.0344316697651595,"FUSClone110","15min","R2"
"32",2,2,2,43,144.697795533575,8.62391096074134,0.0275837231713992,0.0401062517441566,"FUSClone110","15min","R2"
"33",2,3,0,35,114.712352725212,7.04173348261975,0,0.0331790381871588,"FUSClone110","15min","R2"
"34",2,4,31,58,246.127077776939,30.8704053347465,0.0296523856014402,0.0321441795605212,"FUSClone110","15min","R2"
"35",2,5,22,38,211.891875206726,21.7406883460935,0.028966330360434,0.0320617034748338,"FUSClone110","15min","R2"
"36",2,6,37,57,320.049394489964,37.2650341975968,0.0307874759445433,0.0332385414216958,"FUSClone110","15min","R2"
"37",2,7,0,46,205.367315670243,10.7412070874125,0,0.0362848694825834,"FUSClone110","15min","R2"
"38",2,8,22,40,223.363333242014,28.6509806283284,0.0269552584235633,0.0302058802914868,"FUSClone110","15min","R2"
"39",2,9,17,63,155.748348781606,33.0826431245077,0.0218428158243741,0.0316386118332066,"FUSClone110","15min","R2"
"40",2,10,1,45,214.958007761044,10.1353018307127,0.025825894670561,0.0355678949526684,"FUSClone110","15min","R2"
"41",2,11,9,49,233.056718570646,17.3098956188187,0.0285250754177219,0.0352848204500915,"FUSClone110","15min","R2"
"42",2,12,1,49,254.471550391987,11.2362860376015,0.0250412284468229,0.034815332745707,"FUSClone110","15min","R2"
"43",2,13,0,44,190.182376392419,9.50724049773999,0,0.0341470284687235,"FUSClone110","15min","R2"
"44",2,14,2,38,181.988098516129,10.2633402778301,0.0253729558342861,0.0351856189404222,"FUSClone110","15min","R2"
"45",2,15,31,50,270.348730459111,26.2487832431216,0.0315812978503443,0.0337999163174477,"FUSClone110","15min","R2"
"46",2,16,4,32,207.743832213106,8.6291448068805,0.0251983624631351,0.0359293245194542,"FUSClone110","15min","R2"
"47",2,17,4,56,179.121462523472,8.55579467210919,0.0243967916208526,0.0381699239033542,"FUSClone110","15min","R2"
"48",2,18,34,42,203.206775633618,31.5416039333213,0.0304429429290503,0.0335036484984622,"FUSClone110","15min","R2"
"49",2,19,1,25,341.206959188217,10.517067294335,0.0256946671754122,0.0317606590638252,"FUSClone110","15min","R2"
"50",2,20,0,31,180.679469519528,5.59131766716018,0,0.0363507669409027,"FUSClone110","15min","R2"
"51",2,21,12,52,151.274052506313,20.33105990896,0.0285978318425953,0.0307028748252833,"FUSClone110","15min","R2"
"52",2,22,31,41,261.056550713256,32.421530702617,0.0305833751910114,0.0323437982799363,"FUSClone110","15min","R2"
"53",2,23,3,49,209.240314965369,13.0271611732896,0.0241893643978983,0.0351271219530905,"FUSClone110","15min","R2"
"54",2,24,1,45,185.368979046121,8.23587403306738,0.0261234454810619,0.0341131051426537,"FUSClone110","15min","R2"
"55",2,25,9,38,137.790097273886,12.1846342710778,0.0292643365840084,0.0331259063681742,"FUSClone110","15min","R2"
"56",2,26,20,53,218.782788638957,29.638742925832,0.0283180787112994,0.0321302020278242,"FUSClone110","15min","R2"
"57",2,27,0,56,165.013184393058,5.0272373908665,0,0.0351184328495138,"FUSClone110","15min","R2"
"58",2,28,25,58,157.556939756032,26.2666516336612,0.0267507199316862,0.0311596596610878,"FUSClone110","15min","R2"
"59",2,29,0,62,158.970779557014,4.14291603327729,0,0.0359487613328332,"FUSClone110","15min","R2"
"60",3,1,16,28,123.447944469517,20.5452507853042,0.0308618136936726,0.029796542455753,"FUSClone110","15min","R2"
"61",3,2,22,36,235.779355233302,30.234424571041,0.0281240029114293,0.0289584520650512,"FUSClone110","15min","R2"
"62",3,3,15,50,134.218158755684,19.7782560307533,0.0313973931395293,0.0334362192114771,"FUSClone110","15min","R2"
"63",3,4,10,12,158.364004449919,12.2522012232803,0.0303544255378642,0.0308525695495608,"FUSClone110","15min","R2"
"64",3,5,13,47,178.251240392914,19.1679714298807,0.0312965999460908,0.0324249866385639,"FUSClone110","15min","R2"
"65",3,6,30,46,115.159899930004,31.3666745063383,0.0293725717721518,0.0299420230695509,"FUSClone110","15min","R2"
"66",3,7,0,37,192.686290391954,7.53723971452564,0,0.0335908125978015,"FUSClone110","15min","R2"
"67",3,8,0,39,214.040772657841,7.79531555995345,0,0.0317132621013823,"FUSClone110","15min","R2"
"68",3,9,4,46,180.523537601111,10.450766854221,0.031071917041143,0.0366210568398998,"FUSClone110","15min","R2"
"69",3,10,0,42,128.510354013881,3.63866638764739,0,0.033013091065158,"FUSClone110","15min","R2"
"70",3,11,0,50,148.477669020183,10.0997483278625,0,0.0359075395918398,"FUSClone110","15min","R2"
"71",3,12,17,33,219.877058756771,18.5593958827667,0.0298465863747613,0.0323817957799774,"FUSClone110","15min","R2"
"72",3,13,28,107,578.243322050432,40.1217215273064,0.0282328919363365,0.0333332557446378,"FUSClone110","15min","R2"
"73",3,14,26,68,234.027497282252,28.5073779255617,0.0281338864101841,0.0336198792684238,"FUSClone110","15min","R2"
"74",3,15,0,39,259.998474785825,7.32019539084285,0,0.0348049894206209,"FUSClone110","15min","R2"
"75",3,16,24,52,303.520577617455,31.3185933837667,0.0271096799525856,0.0316411062483609,"FUSClone110","15min","R2"
"76",3,17,15,38,133.725979144918,23.6838179728948,0.0282280100508406,0.0311567559416099,"FUSClone110","15min","R2"
"77",3,18,19,54,263.831709114136,26.5496301874518,0.026923834128255,0.0314170812146279,"FUSClone110","15min","R2"
"78",3,19,0,44,233.851667770417,10.9929351909086,0,0.0331005901539506,"FUSClone110","15min","R2"
"79",3,20,0,21,137.518624055665,2.93994050752372,0,0.0309654370198113,"FUSClone110","15min","R2"
