"","ImageNumber","ObjectNumber","TP53BP1_Count","rH2AX_Count","Intensity_DAPI","Intensity_TP53BP1","MeanIntensity_TP53BP1_foci","MeanIntensity_rH2AX_foci","sample","treat","replicate"
"1",1,1,27,43,246.388724363642,29.9606166700833,0.0320013073434906,0.0279130127648271,"FUSClone110","15min","R2"
"2",1,2,31,62,113.991669239942,30.442282960983,0.0353855229423348,0.0315010766868966,"FUSClone110","15min","R2"
"3",1,3,11,22,114.261402941775,20.2505838042125,0.0283246906022041,0.0272318577664066,"FUSClone110","15min","R2"
"4",1,4,25,40,257.456245427951,27.8592662198935,0.0311392200584018,0.0299645923248145,"FUSClone110","15min","R2"
"5",1,5,21,41,183.446021832526,24.5174793459009,0.0366784721895021,0.0377825375415019,"FUSClone110","15min","R2"
"6",1,6,8,54,166.85532977432,19.2828413683455,0.0389747079776857,0.0329074775009072,"FUSClone110","15min","R2"
"7",1,7,8,43,155.219257428776,12.1579767353833,0.0330816329532983,0.033193803320834,"FUSClone110","15min","R2"
"8",1,8,25,38,221.393469784176,27.3515527697746,0.0354604966982143,0.0346407834910179,"FUSClone110","15min","R2"
"9",1,9,10,40,165.18394810427,12.3686275254004,0.0348282277101011,0.0312327445951645,"FUSClone110","15min","R2"
"10",1,10,34,49,207.123888621805,31.902250912739,0.0335404156870779,0.0337818223229064,"FUSClone110","15min","R2"
"11",1,11,19,51,182.254078560742,17.0639964637812,0.0345189201650854,0.0332626086308657,"FUSClone110","15min","R2"
"12",1,12,30,41,233.088533508359,28.6631267271005,0.0367250257627359,0.0360842422785538,"FUSClone110","15min","R2"
"13",1,13,28,39,294.894148984225,26.3998322996777,0.0364728341439592,0.0309572065931998,"FUSClone110","15min","R2"
"14",1,14,8,32,132.251072419342,11.6320287724957,0.0320594930673704,0.0294907529529501,"FUSClone110","15min","R2"
"15",1,15,16,31,160.498055050848,16.0164188086055,0.0341499645657793,0.0314265811656254,"FUSClone110","15min","R2"
"16",1,16,18,38,247.547799590277,21.1061266672332,0.0334658496257338,0.0297966369647042,"FUSClone110","15min","R2"
"17",1,17,10,30,85.5547573775984,11.264103214955,0.0349811664278365,0.0343210481605211,"FUSClone110","15min","R2"
"18",1,18,13,26,219.896910671145,12.9156939918175,0.0324237899505282,0.0341749081277107,"FUSClone110","15min","R2"
"19",1,19,13,40,195.61100236373,15.9622340141796,0.0325527649613946,0.0292717897305407,"FUSClone110","15min","R2"
"20",1,20,15,43,158.038086991059,17.9901580309961,0.0332215136040644,0.033113876700224,"FUSClone110","15min","R2"
"21",1,21,13,51,217.861616527662,20.6182347016875,0.0343182525902478,0.0298325884883439,"FUSClone110","15min","R2"
"22",1,22,21,47,120.122148848139,21.0053255257662,0.0345829604562542,0.0331427207623665,"FUSClone110","15min","R2"
