"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez"
"ENSG00000000003",861.857906934025,0.0324489104814906,0.148175920741552,0.219131569274889,0.826547559608975,0.934371207514354,7105
"ENSG00000000419",916.362100730076,0.0550223327561697,0.164089537355963,0.335139121056085,0.73752014322208,0.892194518962528,8813
"ENSG00000000457",156.775859363911,-0.243635277009185,0.181632424210536,-1.34172578584035,0.179684923034512,0.451889586605602,57147
"ENSG00000000460",325.745416935253,0.411190727636106,0.195702307848173,2.09941900352047,0.0357799809429131,0.169530917527949,55732
"ENSG00000000971",14.2839794717407,-0.305643925608486,0.341760882907463,-0.89427795161543,0.371173193746139,0.665145710863037,3075
"ENSG00000001036",1387.31024038503,-0.284236226281236,0.179508468289333,-1.58364581360071,0.113274342138837,0.348765737637998,2519
"ENSG00000001084",1111.72132839437,-0.0500060164545782,0.148467461290585,-0.336691700717168,0.736349320337663,0.891516063287462,2729
"ENSG00000001167",1685.26069458238,0.142358617253434,0.170158163424327,0.836044913794712,0.403129636368088,0.691576863404471,4800
"ENSG00000001460",216.85254333897,-0.133003245773857,0.18159487726865,-0.731747748881112,0.464322546439141,0.732444451989796,90529
"ENSG00000001461",566.822850470253,-0.0819990984614112,0.195295992211044,-0.419727516069762,0.674684521502013,0.859349518572985,57185
"ENSG00000001497",2507.78182279084,0.208067258261936,0.163509855147685,1.2721716632674,0.203312133394531,0.483553182127533,81887
"ENSG00000001561",279.307765653623,0.216594383406389,0.161231555205684,1.34477367557385,0.178698333798419,0.450453677264908,22875
"ENSG00000001617",1344.51334427401,1.46690871437864,0.144819262479678,10.1265026529317,4.21454735670298e-24,4.13266472234418e-21,6405
"ENSG00000001626",2.46560748775005,-0.196810147010901,0.295334165315638,-0.62279765492208,0.53341749957637,NA,1080
"ENSG00000001629",1329.57305621148,0.233471136531284,0.191473948178051,1.21929397019391,0.222732636414224,0.508199737250043,54467
"ENSG00000001630",188.627956049119,0.228309288410961,0.244483649127379,0.934170065313252,0.3502161744103,0.647226007317963,1595
"ENSG00000001631",182.082965344603,0.13075769860226,0.167101282318945,0.781097278686037,0.434745282341842,0.712869256514969,889
"ENSG00000002016",237.36990443027,0.528947405976123,0.18813179055425,2.81167618254255,0.00492840917243493,0.0418397147931952,5893
"ENSG00000002330",764.489043650385,-0.441434042472736,0.213592237410434,-2.06656054241316,0.0387755820634566,0.178747881318714,572
"ENSG00000002549",1309.7731165118,0.116897980690863,0.151261056270514,0.772626147250258,0.439743665454264,0.716165893628141,51056
"ENSG00000002586",2016.32216498121,-0.0439119675850864,0.169780068460976,-0.258568378851979,0.795968283703225,0.920818099462395,4267
"ENSG00000002726",5.02221297856966,-0.244470119616841,0.353345478651723,-0.721644854711886,0.470512854277775,0.736432846835518,26
"ENSG00000002746",85.2207350964492,-1.17339771039654,0.229361716405616,-5.12234453393652,3.01759869265714e-07,1.47948553045704e-05,23072
"ENSG00000002822",2405.24748081784,-0.312321951876679,0.199848105540459,-1.56203588187714,0.118279536116255,0.357467349025056,8379
"ENSG00000002834",11637.4868371794,0.0663103112930825,0.121121329540948,0.547489847020874,0.584042243856794,0.810253849322852,3927
"ENSG00000002919",579.624976071549,-0.0150715101823214,0.17909689793776,-0.0839558454336502,0.933091538008382,0.978576964993311,29916
"ENSG00000002933",189.247512822397,-0.235704173622595,0.25542009089177,-0.923107292237074,0.355951294800442,0.653042503789263,55365
"ENSG00000003056",2253.27278643062,0.36272437993383,0.148347474487116,2.44522952062852,0.0144759984955931,0.09037470469378,4074
"ENSG00000003096",123.46297665687,0.0601782040718778,0.190619641663684,0.312544243852413,0.754626944104773,0.900775493189119,90293
"ENSG00000003137",1530.04991973538,-0.11431034895805,0.217839192235308,-0.524892586461446,0.599657863339415,0.819549659645931,56603
"ENSG00000003147",57.8801580053777,-0.638182910157316,0.239898721244215,-2.62659441152464,0.0086244063714979,0.062919265059552,3382
"ENSG00000003249",628.726323062131,0.140504155567547,0.162911104309835,0.863098534889219,0.388083293423334,0.679986213396149,79007
"ENSG00000003393",705.46068534486,0.0996483857444509,0.195304174227482,0.510451745806687,0.609735012486099,0.825227968748067,57679
"ENSG00000003400",40.3572835716781,0.0389204504209764,0.278838423573764,0.136300597901377,0.891583651239045,0.962386501244281,843
"ENSG00000003402",1139.324531733,-0.314436596333379,0.119150674143897,-2.63899153512169,0.00831530571673833,0.0614163469580616,8837
"ENSG00000003436",538.753749135031,0.0385179141082707,0.175748728944864,0.219714231512662,0.826093720342967,0.934371207514354,7035
"ENSG00000003509",533.734854634155,-0.144973560246319,0.132082848117792,-1.09703596331804,0.272625671312607,0.566574727710745,55471
"ENSG00000003756",1583.64347938942,-0.184801478820245,0.136663773767569,-1.35221775687339,0.176305664870967,0.447227379661072,10181
"ENSG00000003987",16.5640643042844,-0.142443547552518,0.342784263555342,-0.415241068779854,0.677965437092001,0.86145034435385,9108
"ENSG00000003989",399.867836645966,0.382795764916438,0.196266785593198,1.9484298290895,0.0513635535142162,0.213327610723021,6542
"ENSG00000004059",1620.80540057828,-0.000853544145103829,0.191409034803703,-0.0045620047180916,0.996360059494801,0.998814322011247,381
"ENSG00000004139",57.2427939010144,-0.121028222808401,0.284613448380017,-0.426357673485295,0.669847238635553,0.856898449275225,23098
"ENSG00000004142",1869.18719798574,0.202348331770357,0.193406260783833,1.04597209775396,0.295573914923978,0.590672424138865,26073
"ENSG00000004399",4964.02733458089,-1.02454393973657,0.1681428348332,-6.09444462038934,1.09818041076229e-09,9.96199604335556e-08,23129
