"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"1","ENSG00000001167",1685.26069458238,0.483238567781845,0.170258808324421,2.83850788201254,0.00453249999478499,0.0399372014944854,"NFYA"
"2","ENSG00000001617",1344.51334427401,0.561423209923006,0.143092314765814,3.92048260679739,8.83718144550339e-05,0.0017364049649409,"SEMA3F"
"3","ENSG00000002746",85.2207350964492,-1.88382166126087,0.223140221233848,-8.35987802242663,6.27831361188262e-17,1.82088780135052e-14,"HECW1"
"4","ENSG00000003147",57.8801580053777,3.42703301126937,0.311347257799562,7.06087871973043,1.65452956136206e-12,2.58106611572482e-10,"ICA1"
"5","ENSG00000004399",4964.02733458089,-0.749065168112033,0.168156808340022,-4.45706784090483,8.30883144881854e-06,0.000231836662864595,"PLXND1"
"6","ENSG00000004478",6870.02922170269,0.874333396065138,0.175097906400457,4.99161227090677,5.98773614709612e-07,2.51119068718948e-05,"FKBP4"
"7","ENSG00000004846",24.9458174514081,-0.916098670062531,0.324081525129579,-2.79957404031467,0.0051170080101213,0.0438308772647329,"ABCB5"
"8","ENSG00000004866",284.739515296244,0.669353724375959,0.17662416757968,3.78923713969709,0.000151110612524095,0.00273673679252081,"ST7"
"9","ENSG00000004866",284.739515296244,0.669353724375959,0.17662416757968,3.78923713969709,0.000151110612524095,0.00273673679252081,"ST7"
"10","ENSG00000005020",9.46296419159974,-1.91526082693978,0.359141918238514,-4.47897983179979,7.50006187004917e-06,0.000213907581756305,"SKAP2"
"11","ENSG00000005882",745.162860492803,-0.409726971539557,0.144516858191969,-2.83537008367616,0.00457726276665161,0.0402111752947483,"PDK2"
"12","ENSG00000006118",5628.47351041528,-0.659626337866949,0.155743263422193,-4.23567330348294,2.27867877328678e-05,0.0005579376135496,"TMEM132A"
"13","ENSG00000006283",209.818015210496,-1.02259179919452,0.20375693870992,-5.00710141545567,5.52558169951799e-07,2.33640201964013e-05,"CACNA1G"
"14","ENSG00000006453",1519.75827369285,-0.459326588584758,0.136459539841546,-3.36612818168361,0.000762312757194708,0.00994774670225185,"BAIAP2L1"
"15","ENSG00000006468",51.2550637899206,3.32539004160789,0.328431985462331,6.34870734832875,2.17131637114621e-10,2.12913079593537e-08,"ETV1"
"16","ENSG00000006611",287.332757233618,-1.53392114232126,0.21256712766781,-7.21745089755261,5.29711125286142e-13,9.16622814444726e-11,"USH1C"
"17","ENSG00000006625",772.809316474564,0.577158344733044,0.19564613984562,2.95226602285644,0.00315451035741687,0.0304074451455857,"GGCT"
"18","ENSG00000006638",79.1847014552834,-0.89830500572389,0.25826446578449,-3.48382220139933,0.000494307745023462,0.0070981764892072,"TBXA2R"
"19","ENSG00000006712",2153.90003887397,0.526437291680724,0.171340930104555,3.07415496608644,0.00211099747960341,0.0222824166393657,"PAF1"
"20","ENSG00000006747",32.3164823360111,-0.957957805787481,0.315641635347697,-2.98938692760439,0.002795378906258,0.0277008866398771,"SCIN"
"21","ENSG00000006756",28.464370959043,-1.40115724741954,0.311658770091865,-4.46334404931376,8.06903325278887e-06,0.000226681490779575,"ARSD"
"22","ENSG00000006831",2349.11397054101,0.411168616416312,0.147467983433604,2.78741866704997,0.00531297891198815,0.04515264620539,"ADIPOR2"
"23","ENSG00000007237",295.590503657287,-0.450676598666778,0.164243051044342,-2.74299846142256,0.00608809707409724,0.0499686271967353,"GAS7"
"24","ENSG00000007264",133.707118186867,-1.85833124021245,0.236972093571394,-7.81368752293311,5.55386835552015e-15,1.2297339481384e-12,"MATK"
"25","ENSG00000007933",7.00482688544974,-1.86998198314525,0.357574637035605,-4.12548104704454,3.69960650350258e-05,0.0008380890772291,"FMO3"
"26","ENSG00000008056",67.7013311544876,1.22946793935977,0.253831257471899,4.80145279426254,1.5751864413312e-06,5.6806023117149e-05,"SYN1"
"27","ENSG00000008118",16.9248211829067,-1.77474237742014,0.335755882587835,-5.06590627451346,4.06461880204118e-07,1.80384979249207e-05,"CAMK1G"
"28","ENSG00000008277",180.258525874371,-0.51052052040747,0.181841087756935,-2.80602770593873,0.00501563795433743,0.0431781006503831,"ADAM22"
"29","ENSG00000008300",560.846801671821,1.42049069756463,0.198509919794357,7.14077177273203,9.28083377687349e-13,1.52888743306703e-10,"CELSR3"
"30","ENSG00000008513",969.485180424552,0.777533112347478,0.230900072916511,3.36681545172256,0.000760415574697906,0.00993558217904776,"ST3GAL1"
"31","ENSG00000008517",2638.30490998349,-1.01194748569534,0.245410036967107,-4.13743834808818,3.51204772528028e-05,0.000809855394837307,"IL32"
"32","ENSG00000008853",701.256249293834,-1.08522891728378,0.193353790393438,-5.60983962406338,2.02514198754466e-08,1.26752959901276e-06,"RHOBTB2"
"33","ENSG00000008952",993.875180420716,-0.44925311960889,0.150059190758675,-2.992772477707,0.00276455763019865,0.0275092588925112,"SEC62"
"34","ENSG00000009950",14.7475699858217,-1.40615861296055,0.344411153234006,-4.01703593300083,5.89347404918128e-05,0.00125629831905529,"MLXIPL"
"35","ENSG00000010030",26.4863954215938,-1.25494842660391,0.340443587944907,-3.80578438938452,0.000141355486033666,0.0025954928628932,"ETV7"
"36","ENSG00000010219",390.480924433287,0.468553753073811,0.16505473268356,2.8377886536704,0.00454272508877989,0.0400101775141811,"DYRK4"
"37","ENSG00000010270",847.62667953134,0.412803748193859,0.134075929171326,3.07887385568472,0.00207784641478063,0.0220097805417504,"STARD3NL"
"38","ENSG00000010361",178.191173998443,1.40714660978469,0.191927038318793,7.31292862737048,2.61381868887107e-13,4.68032647315069e-11,"FUZ"
