ImageNumber,ObjectNumber,Children_PLA_Count,Intensity_IntegratedIntensityEdge_DAPI,Intensity_IntegratedIntensity_DAPI,Intensity_LowerQuartileIntensity_DAPI,Intensity_MADIntensity_DAPI,Intensity_MassDisplacement_DAPI,Intensity_MaxIntensityEdge_DAPI,Intensity_MaxIntensity_DAPI,Intensity_MeanIntensityEdge_DAPI,Intensity_MeanIntensity_DAPI,Intensity_MedianIntensity_DAPI,Intensity_MinIntensityEdge_DAPI,Intensity_MinIntensity_DAPI,Intensity_StdIntensityEdge_DAPI,Intensity_StdIntensity_DAPI,Intensity_UpperQuartileIntensity_DAPI,Location_CenterMassIntensity_X_DAPI,Location_CenterMassIntensity_Y_DAPI,Location_CenterMassIntensity_Z_DAPI,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_DAPI,Location_MaxIntensity_Y_DAPI,Location_MaxIntensity_Z_DAPI,Mean_PLA_Intensity_IntegratedIntensityEdge_PLA,Mean_PLA_Intensity_IntegratedIntensity_PLA,Mean_PLA_Intensity_LowerQuartileIntensity_PLA,Mean_PLA_Intensity_MADIntensity_PLA,Mean_PLA_Intensity_MassDisplacement_PLA,Mean_PLA_Intensity_MaxIntensityEdge_PLA,Mean_PLA_Intensity_MaxIntensity_PLA,Mean_PLA_Intensity_MeanIntensityEdge_PLA,Mean_PLA_Intensity_MeanIntensity_PLA,Mean_PLA_Intensity_MedianIntensity_PLA,Mean_PLA_Intensity_MinIntensityEdge_PLA,Mean_PLA_Intensity_MinIntensity_PLA,Mean_PLA_Intensity_StdIntensityEdge_PLA,Mean_PLA_Intensity_StdIntensity_PLA,Mean_PLA_Intensity_UpperQuartileIntensity_PLA,Mean_PLA_Location_CenterMassIntensity_X_PLA,Mean_PLA_Location_CenterMassIntensity_Y_PLA,Mean_PLA_Location_CenterMassIntensity_Z_PLA,Mean_PLA_Location_Center_X,Mean_PLA_Location_Center_Y,Mean_PLA_Location_Center_Z,Mean_PLA_Location_MaxIntensity_X_PLA,Mean_PLA_Location_MaxIntensity_Y_PLA,Mean_PLA_Location_MaxIntensity_Z_PLA,Mean_PLA_Number_Object_Number,Number_Object_Number
1,1,5,5.238956338027492,374.6074332660064,0.009140154346823692,0.007705806754529476,2.0932732561070724,0.03375295549631119,0.062485694885253906,0.00897081564730735,0.017789316804350194,0.016784925013780594,0.0,0.0,0.006563242638586008,0.010725111297518342,0.024643320590257645,435.09317726583186,139.39166572814963,0.0,434.3645645360433,137.4292905309146,0,474.0,179.0,0.0,0.29007705897092817,0.6848981484770775,0.026187533047050238,0.011024644039571286,0.16089817625115416,0.05288166701793671,0.06156099811196327,0.02839612826934786,0.03533438872536939,0.03335164450109005,0.013336385041475296,0.013336385041475296,0.011172095280402552,0.014615125775249233,0.05015869438648224,430.7643509794203,161.9503430706555,0.0,430.70492610837437,161.93645320197044,0.0,431.0,161.8,0.0,7.8,1
1,2,8,5.374715850921348,447.2473509022966,0.010864423587918282,0.008148318156599998,0.2523108178353863,0.030457008630037308,0.062485694885253906,0.008957859751535579,0.01994236192546023,0.018616007640957832,0.0,0.0,0.005944853612645482,0.011200921952435817,0.02703898772597313,835.8362229100073,201.3672355412641,0.0,835.6710215365408,201.17652829179116,0,880.0,195.0,0.0,0.28245975787285715,0.753891056869179,0.022293908055871725,0.009555009077303112,0.19383556379645367,0.04705310193821788,0.05461394740268588,0.025844730242908665,0.03304893106511122,0.034471084480173886,0.012750820140354335,0.012672617682255805,0.010523913889122731,0.0137352824976233,0.046241035510320216,826.2394971493138,202.169041725589,0.0,826.1817523692524,202.0579808704809,0.0,826.375,202.375,0.0,11.5,2
1,3,8,5.013366958824918,281.5545450479258,0.00871290173381567,0.007339588366448879,2.334964122703111,0.030899519100785255,0.06228732690215111,0.009318525945771223,0.01648638863145133,0.01603723131120205,0.0,0.0,0.006285491673143155,0.010181896118817113,0.023453116416931152,167.34036200648,294.4347532124608,0.0,165.59234102353906,292.8866963344654,0,191.0,281.0,0.0,0.3323796472977847,1.0411516808671877,0.02216277550905943,0.012836652109399438,0.2605719486449065,0.049185550305992365,0.05915732076391578,0.02565679121444824,0.03473819775505095,0.03444342711009085,0.011711299419403076,0.011711299419403076,0.01136376605870403,0.015260786991203583,0.049249447183683515,162.12348067421775,316.6471204140889,0.0,162.19893522101825,316.6059296525628,0.0,161.875,316.375,0.0,21.5,3
1,4,6,5.310826325789094,416.69550839136355,0.010635538026690483,0.008148317225277424,0.8262251500183839,0.0322728306055069,0.062485694885253906,0.009109479117991585,0.019674937834239743,0.018341343849897385,0.0,0.0,0.006476180794888246,0.011174632071178244,0.02682536095380783,932.7502792379054,461.4333468756336,0.0,933.4586146654705,461.858680768686,0,920.0,501.0,0.0,0.3242923634437223,0.9149513000932833,0.024825792759656906,0.013777625747025013,0.2435493612687505,0.055636937419573464,0.060977594926953316,0.026721226829189797,0.03689215903254791,0.037139187256495156,0.01136542825649182,0.01136542825649182,0.012796616966829927,0.016201297217240063,0.053261616422484316,966.381180809231,447.0708263862328,0.0,966.3477011494252,447.0714285714286,0.0,966.1666666666666,447.0,0.0,37.666666666666664,4
1,5,8,5.679728449555114,470.2791356255766,0.011947814375162125,0.008331425487995148,0.23814893902954187,0.031097887083888054,0.062485694885253906,0.009190499109312482,0.020923613437692497,0.019790951162576675,0.0,0.0,0.006165103594714903,0.011661041282791936,0.02845807559788227,575.9699463057913,482.50581998486797,0.0,575.7356736074034,482.4630272290443,0,517.0,490.0,0.0,0.36722743744030595,0.8669394243624993,0.028347448154818267,0.013216221006587148,0.1933979681279336,0.05863851401954889,0.062485694885253906,0.03396557747051117,0.04123897302515311,0.04407949955202639,0.01720836211461574,0.016124971501994878,0.01351344772011363,0.015451074960603722,0.05703440890647471,566.4025568876675,491.4200407372244,0.0,566.3843984962406,491.3688909774436,0.0,567.0,491.375,0.0,42.625,5
1,6,10,6.151491628028452,506.13834109157324,0.009781032800674438,0.00804150477051735,0.8494434731383187,0.03044174797832966,0.062485694885253906,0.009449295895589021,0.018984934024440108,0.01768520660698414,0.0,0.0,0.006364608757810893,0.011016584648090414,0.025909818708896637,451.13955718867606,596.8880671030657,0.0,451.55386346586647,596.146511627907,0,492.0,603.0,0.0,0.3725520716048777,0.9212283537723124,0.02770046559162438,0.01362706972286105,0.2657298052540428,0.05815213248133659,0.06067444905638695,0.031812026956589426,0.03977210802162903,0.042149233352392915,0.01235217833891511,0.012198062241077423,0.014179589799551034,0.016015651151887713,0.05556649169884622,427.23679039616735,598.4427905535911,0.0,427.2567141909814,598.4081592617154,0.0,427.6,599.1,0.0,54.5,6
1,7,4,5.3784695698414,422.5447644756641,0.010376134887337685,0.008331426419317722,1.7191635065378517,0.0317845419049263,0.062485694885253906,0.008994096270637792,0.019858293282999536,0.018417639657855034,0.0,0.0,0.006736910114640535,0.01142911947554177,0.02706950530409813,844.3467658771494,602.7606616506149,0.0,846.0260362816055,603.1288654948773,0,845.0,610.0,0.0,0.33723201509565115,1.0709773439448327,0.02056725404690951,0.012468528002500534,0.2420486014342858,0.047013046219944954,0.053257801569998264,0.024539050510308396,0.03259179984170676,0.03333142586052418,0.011432822560891509,0.011432822560891509,0.01089210052565695,0.013478665712679049,0.04639600985683501,838.7635908118875,615.8245748708713,0.0,838.5857843137255,615.8897058823529,0.0,839.0,616.0,0.0,56.0,7
1,8,5,5.63852907367982,354.0139030965511,0.00869764294475317,0.0073853665962815285,1.0572669115671454,0.029556725174188614,0.062485694885253906,0.009589335159319421,0.016588440236940682,0.01600671373307705,0.0,0.0,0.006501616235374185,0.010423699740066156,0.02363622561097145,117.87585116635181,658.5073209017427,0.0,116.85614544772972,658.2280118082564,0,135.0,611.0,0.0,0.2631021600216627,0.6665507001802325,0.018805218348279595,0.011973753944039345,0.1808763661906812,0.051477836817502974,0.05374532714486122,0.02367764309323816,0.030140842635471086,0.030070954561233522,0.011383230425417423,0.011383230425417423,0.01231536160732136,0.01384380532168827,0.04248111695051193,121.70288744544894,681.5604915165757,0.0,121.79314285714285,681.5394285714286,0.0,120.8,681.8,0.0,64.6,8
1,9,5,5.3854887299239635,353.5102788915392,0.009292744100093842,0.00782787799835205,1.1675053052573103,0.0322880893945694,0.062485694885253906,0.00946483080830222,0.018147344912296675,0.016998549923300743,0.0,0.0,0.006284100994616165,0.010844512225878454,0.025024795904755592,612.0358985812073,884.7767754640051,0.0,611.664476386037,885.8836242299794,0,584.0,854.0,0.0,0.30605325680226086,0.8118318507447839,0.023890287987887858,0.012130922637879848,0.19147359084328372,0.04978713691234589,0.059604791551828386,0.026971821940193576,0.0360927952751938,0.037161821871995925,0.01099870316684246,0.01099870316684246,0.012776463408299327,0.01582680097571048,0.05091630443930626,589.0852168403067,879.5834752465405,0.0,589.0178571428571,879.6342857142857,0.0,589.0,879.8,0.0,73.2,9
1,10,1,5.993545487523079,367.55353844491765,0.008957046084105968,0.007568474858999252,0.49466496781900415,0.0319981686770916,0.062485694885253906,0.00946847628360676,0.01722934132306369,0.016495002433657646,0.0,0.0,0.006606314044067543,0.010490240036364897,0.024109255522489548,347.5452846499849,933.1281897365892,0.0,347.18075282426287,933.462569727652,0,300.0,940.0,0.0,0.21988250501453876,0.38283360190689564,0.022541389800608158,0.008567939512431622,0.1229696450749558,0.048508431762456894,0.048508431762456894,0.027485313126817346,0.02944873860822274,0.031578545458614826,0.013550011441111565,0.013550011441111565,0.010304099647476235,0.009952504786787556,0.03408102598041296,350.9669974866472,917.1184582952868,0.0,351.0,917.0,0.0,350.0,918.0,0.0,76.0,10
2,1,8,5.43558409018442,359.90541113121435,0.011291676200926304,0.008224613964557648,1.0562969644859048,0.035614557564258575,0.062485694885253906,0.009741190125778532,0.020306105344798823,0.01908903568983078,0.0,0.0,0.0065646417265902745,0.01137332643584185,0.027618829160928726,750.8611232338595,124.39401249711172,0.0,750.8020198600767,123.33937034529451,0,772.0,137.0,0.0,0.35820744722150266,0.9263370748376474,0.02348268066998571,0.011565384920686483,0.22553604331640256,0.04836537782102823,0.06087586795911193,0.02734177321225791,0.03526952683792476,0.0348563747247681,0.012127107824198902,0.011123827076517045,0.010831218282414025,0.015481254855952212,0.05064803175628185,762.2219337370728,129.77378632179634,0.0,762.1637966146448,129.82737995208979,0.0,762.625,129.875,0.0,9.875,1
2,2,10,6.248630559304729,267.486199910054,0.008346685208380222,0.006759746931493282,0.9534560555602276,0.03315785527229309,0.05993743985891342,0.009613277783545737,0.015376304892507128,0.014999618753790855,0.0,0.0,0.00625576663731324,0.010057229115716135,0.02220187708735466,69.85776157277874,158.6838743785299,0.0,69.23068521499195,159.40210393193837,0,113.0,103.0,0.0,0.30922255367040635,0.742067598272115,0.024869535630568863,0.009864958003163338,0.2173103258032587,0.05142595581710339,0.06055390276014805,0.028502323681305185,0.03525354190656162,0.035767147038131955,0.012492561340332031,0.01211261171847582,0.01193531364190293,0.014742578448473468,0.04897230500355363,68.07270305887599,159.2173973281162,0.0,67.95128896590666,159.30155844155846,0.0,68.2,159.8,0.0,12.6,2
2,3,10,6.780071782879531,520.1175578522962,0.01247043558396399,0.008300907909870148,0.8743801923146356,0.03355458751320839,0.062485694885253906,0.009576372574688604,0.021207647618849995,0.020111391320824623,0.0,0.0,0.006365814257191695,0.011708934517820516,0.028900587931275368,326.762485034637,382.4546251414922,0.0,326.2850152905199,381.72212028542305,0,322.0,438.0,0.0,0.3309910732321441,0.8088532873429358,0.025610742345452308,0.012329289875924587,0.2193148370803047,0.051749446988105775,0.060823987051844594,0.029071795155769974,0.036461022474517005,0.03818265050649643,0.012457465566694737,0.012457465566694737,0.012591231562619421,0.015153355426850996,0.05031891344115138,328.57687735767155,393.2395024418487,0.0,328.5638916256158,393.2170481242895,0.0,328.4,393.4,0.0,33.4,3
2,4,5,6.223498948616907,335.52584303729236,0.00886549148708582,0.0076600294560194016,0.2545065338184128,0.03685053810477257,0.062485694885253906,0.009709046721711244,0.01725246004922318,0.016418708488345146,0.0,0.0,0.006318549973279053,0.010756929160171737,0.024383917450904846,82.98565270548237,419.8955763032538,0.0,82.73143767996709,419.9077540106952,0,34.0,447.0,0.0,0.3756008241325617,0.9500328084453941,0.02127641700208187,0.010337987542152404,0.19342398609682104,0.04920729398727417,0.05697718784213066,0.026968960964484,0.03260392610150497,0.03149614706635475,0.012893873825669288,0.012170596234500407,0.010810737707091355,0.013830175275491494,0.0448035404086113,98.34301873570931,400.16955963371385,0.0,98.28866592344852,400.089409141583,0.0,98.2,400.4,0.0,33.2,4
2,5,12,5.757259539561346,499.41593293310143,0.013244831003248692,0.008224612101912498,1.6077815964038507,0.03013656847178936,0.062485694885253906,0.009627524313647736,0.021691102021069383,0.020965896546840668,0.0,0.0,0.006167664846402097,0.011780890496461818,0.029587242752313614,592.7166257167869,464.2590375141293,0.0,592.7586431549687,465.8662699791522,0,562.0,405.0,0.0,0.3057094186078757,0.7060781800343344,0.02664574922528118,0.011470969455937544,0.19760359432329375,0.05303781727949778,0.060348160254458584,0.030602096744101744,0.03762255165982383,0.03827471371429662,0.013251189064855376,0.013251189064855376,0.012875186147369476,0.015347175216501347,0.0543208463738362,600.9493093269149,463.1897711421166,0.0,600.9776272577997,463.1301313628899,0.0,600.75,463.5833333333333,0.0,45.25,5
2,6,12,6.780026009073481,376.1356700854376,0.008911268785595894,0.007629510946571827,1.0504427252161723,0.03366140276193619,0.062485694885253906,0.009617058168898554,0.017240485405208672,0.016464484855532646,0.0,0.0,0.006590730365310819,0.010646316408183273,0.024277104064822197,164.21578803086925,756.9528031070105,0.0,163.20763624696338,756.6577439611312,0,215.0,766.0,0.0,0.29951171375190216,0.7062841771015277,0.02278617034122969,0.010722006127859155,0.24372971581405575,0.049031052427987255,0.05973271311571201,0.02788092320748641,0.034118387673338,0.0348325325952222,0.011544721821943918,0.011245899212857088,0.012063536870308283,0.014978546287882798,0.04733634697428594,156.14062392631848,776.3812230639669,0.0,156.12708737062187,776.3813388109676,0.0,156.33333333333334,776.0833333333334,0.0,71.25,6
2,7,6,5.287800457328558,364.49781229998916,0.00939955748617649,0.007965209893882275,1.9041540417274836,0.03543144837021828,0.062485694885253906,0.009738122389187032,0.01843132141484573,0.01719691790640354,0.0,0.0,0.006498497214406186,0.010912535971365381,0.02546730823814869,855.3889554787734,785.6093566078398,0.0,857.2323017799353,786.0867212783171,0,840.0,729.0,0.0,0.30329594838743407,0.7720912502457699,0.022300424830367167,0.009796291900177797,0.18774733218022857,0.04691131909688314,0.06081483202675978,0.02614645558517396,0.034084900414302906,0.03310444795837005,0.013346557971090078,0.012929478194564581,0.01016352640059537,0.014603765782247806,0.046566084337731205,875.2704212004319,811.6368415922592,0.0,875.1841616988676,811.5510965069789,0.0,875.3333333333334,811.1666666666666,0.0,76.0,7
2,8,6,6.007095505716279,422.7553087756969,0.009445334784686565,0.0077668409794569016,0.7167157308780223,0.0316472128033638,0.062485694885253906,0.009751778418370584,0.01822849727387448,0.017013808712363243,0.0,0.0,0.006599138234165291,0.010818044347547736,0.02511635050177574,484.52443428779463,862.5513927794434,0.0,483.8079941359089,862.5315194894791,0,542.0,835.0,0.0,0.30091808503493667,0.6864296438482901,0.023297983144099515,0.010795758105814457,0.1832440752169808,0.04973423853516579,0.058978663136561714,0.02710253432095568,0.03233730452727279,0.031698075123131275,0.012410671294977268,0.012242821976542473,0.011421973220987978,0.013800822090913628,0.04454553577428063,476.94409060241304,835.0406155292584,0.0,477.0147792022792,835.0220797720798,0.0,477.0,835.8333333333334,0.0,78.83333333333333,8
3,1,20,6.2821241253986955,299.9935318964999,0.009338521398603916,0.007629510015249252,2.1883769567677964,0.03805600106716156,0.062485694885253906,0.010298564139997862,0.017608354281651695,0.016891736537218094,0.0001678492408245802,0.0001678492408245802,0.006372821184621224,0.010687878642236547,0.02465476468205452,928.2397966758052,86.01468445500085,0.0,929.3477137993779,84.12748723366789,0,991.0,103.0,0.0,0.4002479599090293,1.2328870103461669,0.02306458381935954,0.013631647313013672,0.1847628428794787,0.050801098719239234,0.06181124597787857,0.026765170743378038,0.036778760571919256,0.03638666379265487,0.012330052652396261,0.012203402793966233,0.011699840706183667,0.016211002493173362,0.05350118274800479,914.0281216504081,77.075209096819,0.0,914.0642156625215,77.00052188766999,0.0,913.9,77.35,0.0,32.15,1
