UNIPROT,Gene,PSMs_bio3,Peptides_bio3,Unique Peptides_bio3,PSMs_bio2,Peptides_bio2,Unique Peptides_bio2,PSMs_bio1,Peptides_bio1,Unique Peptides_bio1
Q96EY5,MVB12A,NA,NA,NA,NA,NA,NA,NA,NA,NA
P57088,TMEM33,NA,NA,NA,NA,NA,NA,NA,NA,NA
O43681,ASNA1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9BSJ2,TUBGCP2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q13642,FHL1,NA,NA,NA,NA,NA,NA,3,2,2
Q92922,SMARCC1,15,7,5,21,10,8,23,13,10
P61088|Q5JXB2,UBE2N|UBE2NL,NA,NA,NA,NA,NA,NA,NA,NA,NA
O94805,ACTL6B,NA,NA,NA,NA,NA,NA,NA,NA,NA
O94913,PCF11,18,14,14,6,4,4,14,9,9
Q92930,RAB8B,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q04721,NOTCH2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96EL3,MRPL53,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q15942,ZYX,5,4,4,17,8,8,5,3,3
Q9H223,EHD4,NA,NA,NA,5,4,4,NA,NA,NA
O96019,ACTL6A,6,3,3,3,2,2,4,2,2
Q15797|Q99717,SMAD1|SMAD5,NA,NA,NA,NA,NA,NA,NA,NA,NA
O15294,OGT,3,3,3,6,3,3,9,5,5
P35237,SERPINB6,NA,NA,NA,NA,NA,NA,NA,NA,NA
C4AMC7|Q6VEQ5,WASH3P|WASH2P,NA,NA,NA,NA,NA,NA,NA,NA,NA
B9A064|P0DOX8,IGLL5|,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9Y678,COPG1,4,3,3,7,5,5,5,4,4
P98082,DAB2,NA,NA,NA,NA,NA,NA,NA,NA,NA
P61020,RAB5B,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9UDY2,TJP2,NA,NA,NA,11,8,8,NA,NA,NA
Q99961,SH3GL1,NA,NA,NA,5,4,4,NA,NA,NA
Q9NR31,SAR1A,2,2,2,NA,NA,NA,6,3,3
P0C0L4,C4A,4,2,2,NA,NA,NA,5,4,4
O60888,CUTA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9Y3E7,CHMP3,NA,NA,NA,NA,NA,NA,NA,NA,NA
O75962,TRIO,NA,NA,NA,NA,NA,NA,NA,NA,NA
O95817,BAG3,NA,NA,NA,9,5,5,NA,NA,NA
P05089,ARG1,6,5,5,NA,NA,NA,14,7,7
Q9H254,SPTBN4,NA,NA,NA,NA,NA,NA,NA,NA,NA
O75396,SEC22B,NA,NA,NA,7,4,4,NA,NA,NA
Q9H9G7,AGO3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9BZV1,UBXN6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q12824,SMARCB1,NA,NA,NA,3,2,2,NA,NA,NA
