UNIPROT,Gene,PSMs_bio3,Peptides_bio3,Unique Peptides_bio3,PSMs_bio2,Peptides_bio2,Unique Peptides_bio2,PSMs_bio1,Peptides_bio1,Unique Peptides_bio1
Q8NEW0,SLC30A7,NA,NA,NA,NA,NA,NA,NA,NA,NA
O15400,STX7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9UPQ9,TNRC6B,NA,NA,NA,NA,NA,NA,NA,NA,NA
P04279,SEMG1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q13190,STX5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q08379,GOLGA2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q6DD88,ATL3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q15788,NCOA1,NA,NA,NA,NA,NA,NA,NA,NA,NA
P53992,SEC24C,43,21,21,30,16,16,48,19,19
Q9BXS5,AP1M1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9BRX2,PELO,NA,NA,NA,NA,NA,NA,NA,NA,NA
P54619|Q9UGJ0,PRKAG1|PRKAG2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8TEH3,DENND1A,NA,NA,NA,NA,NA,NA,NA,NA,NA
O14497,ARID1A,13,10,10,10,6,6,16,11,11
Q10567,AP1B1,3,3,2,NA,NA,NA,NA,NA,NA
O95486,SEC24A,4,3,2,2,2,2,NA,NA,NA
Q9UKX3,MYH13,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9UJY5,GGA1,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4D2H0,CTAGE15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q2M2I8,AAK1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9BTT6,LRRC1,NA,NA,NA,NA,NA,NA,NA,NA,NA
P42330,AKR1C3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9BUA6,MYL10,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9H0B6,KLC2,54,28,28,32,19,16,68,29,29
O60784,TOM1,NA,NA,NA,2,2,2,NA,NA,NA
O60568,PLOD3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9P0V3,SH3BP4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9UHV7,MED13,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6I1,IGLV4-60,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q86SQ0,PHLDB2,NA,NA,NA,2,2,2,NA,NA,NA
Q9UKV8,AGO2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9Y623,MYH4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q93052,LPP,NA,NA,NA,2,2,2,NA,NA,NA
Q9HCU5,PREB,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96KG9,SCYL1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9H3S7,PTPN23,11,8,8,9,8,8,4,3,3
Q96FJ0,STAMBPL1,NA,NA,NA,NA,NA,NA,NA,NA,NA
O15127,SCAMP2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q93073,SECISBP2L,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96K21,ZFYVE19,NA,NA,NA,NA,NA,NA,NA,NA,NA
O60831,PRAF2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9NZ09,UBAP1,NA,NA,NA,NA,NA,NA,NA,NA,NA
O14686,KMT2D,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9Y6Q9,NCOA3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q5JRA6,MIA3,NA,NA,NA,5,3,3,4,2,2
P55735,SEC13,NA,NA,NA,NA,NA,NA,3,2,2
Q12907,LMAN2,NA,NA,NA,NA,NA,NA,NA,NA,NA
P42694,HELZ,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9Y2K3,MYH15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q15437,SEC23B,26,14,12,14,8,6,21,11,9
P48735,IDH2,NA,NA,NA,NA,NA,NA,NA,NA,NA
P50993,ATP1A2,NA,NA,NA,NA,NA,NA,NA,NA,NA
P11137,MAP2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9NS25|Q9NS26,SPANXB1|SPANXA1,NA,NA,NA,NA,NA,NA,NA,NA,NA
O95630,STAMBP,NA,NA,NA,NA,NA,NA,NA,NA,NA
O75146,HIP1R,NA,NA,NA,7,5,5,NA,NA,NA
Q9UJY4,GGA2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q6ZSR9,,NA,NA,NA,2,2,2,NA,NA,NA
O94851,MICAL2,NA,NA,NA,NA,NA,NA,NA,NA,NA
O43747,AP1G1,NA,NA,NA,3,2,2,NA,NA,NA
Q15532,SS18,NA,NA,NA,NA,NA,NA,NA,NA,NA
P40818,USP8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q658P3,STEAP3,NA,NA,NA,NA,NA,NA,NA,NA,NA
P20929,NEB,NA,NA,NA,NA,NA,NA,NA,NA,NA
P13805,TNNT1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q02383,SEMG2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96LD4,TRIM47,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q96RT6,CTAGE1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q14677,CLINT1,3,3,3,NA,NA,NA,5,3,3
Q8WU79,SMAP2,NA,NA,NA,NA,NA,NA,NA,NA,NA
O14558,HSPB6,NA,NA,NA,NA,NA,NA,NA,NA,NA
P09496,CLTA,9,6,6,13,7,7,5,4,4
P53675,CLTCL1,NA,NA,NA,NA,NA,NA,NA,NA,NA
P49757,NUMB,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q00610,CLTC,127,55,55,102,48,48,145,61,61
O95081,AGFG2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9NQW1,SEC31B,NA,NA,NA,NA,NA,NA,NA,NA,NA
O15126,SCAMP1,NA,NA,NA,NA,NA,NA,NA,NA,NA
O15027,SEC16A,23,18,18,19,12,12,17,12,12
Q01968,OCRL,NA,NA,NA,NA,NA,NA,NA,NA,NA
O94979,SEC31A,42,23,23,45,21,21,49,24,24
Q9BXN6|Q9NY87,SPANXD|SPANXC,NA,NA,NA,NA,NA,NA,NA,NA,NA
O15320|Q96PC5,CTAGE5|MIA2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9Y6I3,EPN1,NA,NA,NA,NA,NA,NA,NA,NA,NA
O43426,SYNJ1,NA,NA,NA,NA,NA,NA,NA,NA,NA
P42566,EPS15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9Y6Q5,AP1M2,NA,NA,NA,NA,NA,NA,NA,NA,NA
O15234,CASC3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9UBC2,EPS15L1,NA,NA,NA,NA,NA,NA,NA,NA,NA
P27986,PIK3R1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9HA47,UCK1,NA,NA,NA,NA,NA,NA,NA,NA,NA
P11717,IGF2R,NA,NA,NA,NA,NA,NA,NA,NA,NA
O75886,STAM2,5,4,3,5,3,2,NA,NA,NA
Q9Y6Y8,SEC23IP,19,13,13,14,9,8,15,10,10
Q9UPQ0,LIMCH1,NA,NA,NA,3,3,3,NA,NA,NA
O00291,HIP1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q969M3,YIPF5,NA,NA,NA,NA,NA,NA,NA,NA,NA
P09497,CLTB,NA,NA,NA,4,2,2,NA,NA,NA
Q9UEU0,VTI1B,NA,NA,NA,NA,NA,NA,NA,NA,NA
O14964,HGS,12,7,7,12,8,8,7,5,5
O14976,GAK,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q00872,MYBPC1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9ULH0,KIDINS220,NA,NA,NA,NA,NA,NA,NA,NA,NA
O14828,SCAMP3,NA,NA,NA,NA,NA,NA,NA,NA,NA
P19237,TNNI1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9Y448,KNSTRN,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9NZM1,MYOF,NA,NA,NA,NA,NA,NA,NA,NA,NA
P56377,AP1S2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9UMZ2,SYNRG,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4FU28,CTAGE9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9NZ52,GGA3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7Z3T8,ZFYVE16,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q15811,ITSN1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q6ULP2,AFTPH,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q6P3W7,SCYL2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9NZM3,ITSN2,NA,NA,NA,NA,NA,NA,NA,NA,NA
