IR,GUSU2OS,GUSU2OS,GUSU2OS,GUSU2OS,GUSU2OS,GUSU2OS,GUSU2OS,GUSU2OS,GUSU2OS,GUSU2OS,GUSClone110,GUSClone110,GUSClone110,GUSClone110,GUSClone110,GUSClone110,GUSClone110,GUSClone110,GUSClone110,GUSClone110,FUSClone110,FUSClone110,FUSClone110,FUSClone110,FUSClone110,FUSClone110,FUSClone110,FUSClone110,FUSClone110,FUSClone110
Mock,0.689655172,0.555555556,0.769230769,0.7,0.653846154,0.666666667,0.714285714,0.740740741,0.65,0.757575758,0.48,0.487179487,0.37037037,0.357142857,0.5,0.387096774,0.419354839,0.34375,0.517241379,0.538461538,0.518518519,0.391304348,0.351351351,0.291666667,0.45,0.391304348,0.5,0.52173913,0.541666667,0.454545455
15 min,0.68,0.838709677,0.857142857,0.837837838,0.806451613,0.95,0.848484848,0.777777778,0.857142857,0.774193548,0.434782609,0.523809524,0.48,0.483870968,0.481481481,0.608695652,0.44,0.583333333,0.541666667,0.625,0.694444444,0.611111111,0.666666667,0.586206897,0.657142857,0.655172414,0.689655172,0.576923077,0.535714286,0.777777778
