"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"1","ENSG00000001617",1344.51334427401,1.46690871437864,0.144819262479678,10.1265026529317,4.21454735670298e-24,4.13266472234418e-21,"SEMA3F"
"2","ENSG00000002016",237.36990443027,0.528947405976123,0.18813179055425,2.81167618254255,0.00492840917243493,0.0418397147931952,"RAD52"
"3","ENSG00000002079",36.2305023429378,-2.24521354734007,0.349381809166432,-6.21785909910239,5.039837981732e-10,4.9419211295155e-08,"MYH16"
"4","ENSG00000002746",85.2207350964492,-1.17339771039654,0.229361716405616,-5.12234453393652,3.01759869265714e-07,1.47948553045704e-05,"HECW1"
"5","ENSG00000004399",4964.02733458089,-1.02454393973657,0.1681428348332,-6.09444462038934,1.09818041076229e-09,9.96199604335556e-08,"PLXND1"
"6","ENSG00000004478",6870.02922170269,0.778566071742525,0.175120570916689,4.44360343779551,8.84645951636531e-06,0.000263246090117044,"FKBP4"
"7","ENSG00000005020",9.46296419159974,-1.36620904039476,0.359824095672264,-3.80253470607836,0.000143223194889931,0.0025735183500641,"SKAP2"
"8","ENSG00000005187",54.6772183516686,-1.10162376185777,0.312024040227809,-3.51745102352782,0.000435712748373793,0.00641788048248436,"ACSM3"
"9","ENSG00000005238",691.021829791476,-0.632617242728453,0.1900970949938,-3.3270828570226,0.000877602745906941,0.0112316015646503,"FAM214B"
"10","ENSG00000005379",268.155740324603,-1.64750198055802,0.3453660253206,-4.79242541913167,1.6477703452147e-06,6.4384984722317e-05,"TSPOAP1"
"11","ENSG00000005471",127.319939894735,-0.638211131077263,0.224101922937522,-2.84614367348095,0.00442522240131647,0.0385466073129902,"ABCB4"
"12","ENSG00000005486",1406.26678345391,-0.600028834750461,0.183054599055108,-3.27693294625723,0.00104941288113345,0.012924348115012,"RHBDD2"
"13","ENSG00000006047",380.588546988294,0.931601325118575,0.16454546771603,5.66870088637972,1.43884302051326e-08,9.94250183839232e-07,"YBX2"
"14","ENSG00000006118",5628.47351041528,-0.463111402795513,0.155828531375923,-2.97265719527961,0.00295233987127582,0.0283292556520558,"TMEM132A"
"15","ENSG00000006534",2773.82410908409,0.526136646721957,0.162646150471868,3.23699863519608,0.00120793989459896,0.0144029521190398,"ALDH3B1"
"16","ENSG00000006611",287.332757233618,-1.19637220632546,0.213779609035114,-5.60892177107789,2.03591017851638e-08,1.3567463558579e-06,"USH1C"
"17","ENSG00000006638",79.1847014552834,-0.787553842956473,0.259939480882298,-3.03817740638041,0.00238013788204408,0.0242752844314273,"TBXA2R"
"18","ENSG00000006756",28.464370959043,-0.97204006864151,0.315981445797343,-3.11741309421373,0.00182445728573099,0.019669751009305,"ARSD"
"19","ENSG00000006831",2349.11397054101,0.612196376596604,0.147752408974457,4.14288419950875,3.42965142940394e-05,0.000818758976503947,"ADIPOR2"
"20","ENSG00000007171",41.4453590142736,1.35278537800635,0.274817703669741,4.89783692224139,9.68973983621681e-07,4.13964984870076e-05,"NOS2"
"21","ENSG00000007264",133.707118186867,-1.09646600680848,0.240739868719486,-4.58298541671529,4.58384019867357e-06,0.000154485167546786,"MATK"
"22","ENSG00000008056",67.7013311544876,1.11970713595689,0.254775522059282,4.34508419582521,1.39222253103774e-05,0.000388991131060097,"SYN1"
"23","ENSG00000008118",16.9248211829067,-1.04752058983713,0.341752370879633,-3.15306852889903,0.00161563873826969,0.0179833691342971,"CAMK1G"
"24","ENSG00000008300",560.846801671821,1.43687146092202,0.199068664188209,7.20065355771511,5.9924627847231e-13,1.05467345011127e-10,"CELSR3"
"25","ENSG00000008517",2638.30490998349,-1.17113017768448,0.245418617550645,-4.78246213552068,1.73161012567945e-06,6.70250295262992e-05,"IL32"
"26","ENSG00000009335",1041.4077054553,0.552178847786645,0.150800291520334,3.66089561587681,0.000251335147099251,0.00409743935567564,"UBE3C"
"27","ENSG00000009709",347.194728628923,0.804045045573509,0.205650241888344,3.90748410106202,9.32621762709948e-05,0.0018186124372844,"PAX7"
"28","ENSG00000009765",5.36889980738434,-1.03379818308345,0.353927240657928,-2.91740082945143,0.00352961868772783,0.0323030702300851,"IYD"
"29","ENSG00000009950",14.7475699858217,-0.926078472889627,0.348021957360719,-2.74996573629505,0.00596014965775357,0.0482422137737145,"MLXIPL"
"30","ENSG00000010030",26.4863954215938,-1.66893353176489,0.339634515591393,-4.89830283439743,9.66679708418921e-07,4.13843421117722e-05,"ETV7"
"31","ENSG00000010278",3483.30962581024,0.541334279668581,0.124836883901985,4.33647434278286,1.44786318605619e-05,0.000403989142645922,"CD9"
"32","ENSG00000010361",178.191173998443,0.693743011811927,0.188069055215859,3.67150402741862,0.00024112727778237,0.00395956371937366,"FUZ"
"33","ENSG00000011021",440.37048912303,0.686772873061066,0.202693333901839,3.38548154471066,0.000710534872093492,0.00951232756657485,"CLCN6"
"34","ENSG00000011105",1319.53094531312,0.557618188204947,0.136643847530111,4.08085126492823,4.48710624481562e-05,0.0010120316735295,"TSPAN9"
"35","ENSG00000011114",650.698204849973,1.09557906581375,0.150904304302335,7.25462740512373,4.0276900355154e-13,7.27528010625729e-11,"BTBD7"
"36","ENSG00000011376",522.317310716292,0.619651497493202,0.147004440031718,4.21435029162473,2.50498245660094e-05,0.000632139690518707,"LARS2"
"37","ENSG00000011422",1185.47368384025,0.81124838757142,0.205838222900358,3.94070602079492,8.12421415481072e-05,0.00162579026118428,"PLAUR"
"38","ENSG00000011426",5269.35571549029,0.616497037076915,0.197112664321638,3.12655400972126,0.00176868013646966,0.0191788632807705,"ANLN"
