ImageNumber,ObjectNumber,Children_PLA_Count,Intensity_IntegratedIntensityEdge_DAPI,Intensity_IntegratedIntensity_DAPI,Intensity_LowerQuartileIntensity_DAPI,Intensity_MADIntensity_DAPI,Intensity_MassDisplacement_DAPI,Intensity_MaxIntensityEdge_DAPI,Intensity_MaxIntensity_DAPI,Intensity_MeanIntensityEdge_DAPI,Intensity_MeanIntensity_DAPI,Intensity_MedianIntensity_DAPI,Intensity_MinIntensityEdge_DAPI,Intensity_MinIntensity_DAPI,Intensity_StdIntensityEdge_DAPI,Intensity_StdIntensity_DAPI,Intensity_UpperQuartileIntensity_DAPI,Location_CenterMassIntensity_X_DAPI,Location_CenterMassIntensity_Y_DAPI,Location_CenterMassIntensity_Z_DAPI,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_DAPI,Location_MaxIntensity_Y_DAPI,Location_MaxIntensity_Z_DAPI,Mean_PLA_Intensity_IntegratedIntensityEdge_PLA,Mean_PLA_Intensity_IntegratedIntensity_PLA,Mean_PLA_Intensity_LowerQuartileIntensity_PLA,Mean_PLA_Intensity_MADIntensity_PLA,Mean_PLA_Intensity_MassDisplacement_PLA,Mean_PLA_Intensity_MaxIntensityEdge_PLA,Mean_PLA_Intensity_MaxIntensity_PLA,Mean_PLA_Intensity_MeanIntensityEdge_PLA,Mean_PLA_Intensity_MeanIntensity_PLA,Mean_PLA_Intensity_MedianIntensity_PLA,Mean_PLA_Intensity_MinIntensityEdge_PLA,Mean_PLA_Intensity_MinIntensity_PLA,Mean_PLA_Intensity_StdIntensityEdge_PLA,Mean_PLA_Intensity_StdIntensity_PLA,Mean_PLA_Intensity_UpperQuartileIntensity_PLA,Mean_PLA_Location_CenterMassIntensity_X_PLA,Mean_PLA_Location_CenterMassIntensity_Y_PLA,Mean_PLA_Location_CenterMassIntensity_Z_PLA,Mean_PLA_Location_Center_X,Mean_PLA_Location_Center_Y,Mean_PLA_Location_Center_Z,Mean_PLA_Location_MaxIntensity_X_PLA,Mean_PLA_Location_MaxIntensity_Y_PLA,Mean_PLA_Location_MaxIntensity_Z_PLA,Mean_PLA_Number_Object_Number,Number_Object_Number
1,1,30,6.115724468836561,420.18228637985885,0.010482948273420334,0.008209353312849998,2.7533146023196635,0.039002060890197754,0.062485694885253906,0.009615918976158114,0.019810574558220596,0.018387122079730034,0.00024414435029029846,0.00024414435029029846,0.006745431730422548,0.011151569082942167,0.02698558010160923,802.4160760323022,182.55669238426566,0.0,805.1038661008959,181.95959453088167,0,905.0,190.0,0.0,0.4051829828259846,1.1981348430582632,0.023298746378471454,0.012703644546369712,0.2093245106679212,0.05185473412275314,0.05997049945096175,0.026564210509556034,0.03539421805173958,0.03552758072813352,0.01203733387713631,0.01139594631580015,0.011334737930030234,0.015083851679146417,0.05002899225801229,804.2068325622471,171.5586599885015,0.0,804.1607582014766,171.5685388418665,0.0,804.3333333333334,171.46666666666667,0.0,31.266666666666666,1
1,2,5,5.515724460594356,420.34525257814676,0.01343175396323204,0.008194094523787498,0.467716549620167,0.033936064690351486,0.062485694885253906,0.009814456335577147,0.02198803434525013,0.021347371861338615,0.00027466239407658577,0.00027466239407658577,0.006647340930235959,0.011739307404835558,0.029800869524478912,473.08374329848493,280.7316672723736,0.0,473.4945859706021,280.50813412146255,0,430.0,308.0,0.0,0.2961348908022046,0.8012359818443656,0.018886091373860835,0.011371023207902908,0.2671727382903658,0.04593881145119667,0.05186541602015495,0.024772202437572787,0.03020349372057779,0.02958724331110716,0.01277485303580761,0.012121766991913318,0.011045931095197453,0.013282558340718776,0.04396581994369626,463.98374606255385,277.6167565856562,0.0,463.93047619047627,277.47809523809525,0.0,463.8,278.2,0.0,68.8,2
1,3,43,6.653986497083679,356.5504864277318,0.009445334784686565,0.007766841910779476,2.3275121113341215,0.029282063245773315,0.062485694885253906,0.009916522350348254,0.018034013779157948,0.017120622098445892,0.00035095750354230404,0.00032043945975601673,0.005959389605093124,0.010938980378219961,0.02511635050177574,225.35086855446397,315.4084507175432,0.0,224.3967932830914,313.28546861564917,0,240.0,325.0,0.0,0.381592653475182,1.0451074477371782,0.021743928943219228,0.01163447191288998,0.25795016055630715,0.04932212686642658,0.05886930669116419,0.026552019993623863,0.033035288056230405,0.03262769251108863,0.011927232297873774,0.01160111507877361,0.011056614082981024,0.014393701845909108,0.04620768974513509,217.96440925156222,308.7568496202094,0.0,217.9633036408506,308.7337543403704,0.0,217.8139534883721,308.72093023255815,0.0,81.95348837209302,3
1,4,10,5.80784318735823,428.8750156557653,0.010238803923130035,0.008056764490902424,3.2837216092124906,0.03440909460186958,0.062485694885253906,0.009489939848624559,0.019503183977069818,0.018127718940377235,0.00024414435029029846,0.00024414435029029846,0.006444157617050135,0.011125809978016694,0.026413366198539734,917.0255454593337,338.50380486350826,0.0,919.0590723055934,335.92551159618006,0,913.0,361.0,0.0,0.4321950110606849,1.5129900097846984,0.021467536501586438,0.01190508883446455,0.15221863544908237,0.04761883020401001,0.0540123600512743,0.024679414620462393,0.032690416542815376,0.03150377655401826,0.012672617845237256,0.012292668223381042,0.009987467757070432,0.013549850224503491,0.04665484135039151,925.5388092798642,321.3694066863719,0.0,925.5200809616051,321.33834347375773,0.0,926.0,320.3,0.0,88.9,4
1,5,10,5.336034228093922,437.3597333978396,0.014358739368617535,0.008163576014339924,0.7318137435808504,0.032516974955797195,0.062485694885253906,0.009684272646268461,0.022621275131780264,0.02201876789331436,0.0002899214159697294,0.0002899214159697294,0.006489967950253214,0.011800046800426612,0.030609598383307457,636.1598863332493,387.07296235546823,0.0,636.8448846591497,387.33050584462603,0,613.0,372.0,0.0,0.34028992215171455,0.8847547133453191,0.023545052553527058,0.011443504132330418,0.1743264269300618,0.04943465366959572,0.05867704264819622,0.02794013812674066,0.03487766559021511,0.036010528542101385,0.012635996099561453,0.012478828150779008,0.011218507984716759,0.014232067838019896,0.04755359748378396,624.2344831285446,406.2430957745578,0.0,624.2180519255519,406.2831013018514,0.0,624.2,406.0,0.0,119.1,5
1,6,10,5.571526705753058,429.48896228149533,0.01281757839024067,0.008285649120807648,0.5496093040723788,0.03501945361495018,0.062485694885253906,0.009589546825736761,0.021557444274531715,0.02038605324923992,0.0002594033721834421,0.0002594033721834421,0.00643974187785547,0.011699711558223998,0.029190508648753166,553.4279142933841,607.1148752853497,0.0,553.7713195803844,607.5439943783567,0,493.0,639.0,0.0,0.4289906186982989,1.2671046063303948,0.02551003296393901,0.011837949696928262,0.24190724010011921,0.056098267808556555,0.062485694885253906,0.02955001003817795,0.03873865923777742,0.041779201943427324,0.012132448609918356,0.011944762617349624,0.013373560313211708,0.015920806666138796,0.053506523743271826,561.0310258712385,612.6398027743636,0.0,561.0895087340041,612.4945772480802,0.0,561.3,612.5,0.0,155.6,6
1,7,10,4.975890791742131,370.2903963061981,0.01030746940523386,0.0079652089625597,1.4606437543396604,0.029190508648753166,0.062485694885253906,0.009495974793401014,0.019372731835628234,0.018005646765232086,0.0002899214159697294,0.0002899214159697294,0.006208706606288644,0.010998137375040328,0.026321813464164734,910.3782670983965,622.7307613555324,0.0,911.1368107146594,621.4825258972481,0,930.0,586.0,0.0,0.35632562832906844,0.9615259039215743,0.026863507786765696,0.011900511384010316,0.2146527322019051,0.0498527504503727,0.05897459387779236,0.030015131121236986,0.037819531632816594,0.0399298083037138,0.013098344299942255,0.01240253308787942,0.012348862946245454,0.014939192122687605,0.05290798833593726,913.5990352273859,600.4399212478453,0.0,913.6274999999999,600.3817511244378,0.0,913.9,600.3,0.0,151.5,7
1,8,38,6.865186597919092,620.5165818766691,0.01254291646182537,0.008178835734724998,0.8917544391198614,0.030914777889847755,0.062485694885253906,0.009892199708817134,0.021279718171353535,0.020157167688012123,0.0003051804378628731,0.0003051804378628731,0.0063979879626839325,0.011470711980253746,0.02876325696706772,503.3895693098636,764.0850201451296,0.0,503.5946159122085,764.9528806584362,0,408.0,721.0,0.0,0.39651733092767627,1.1448563085868955,0.025038047160610165,0.013902775796228334,0.20606014557270355,0.05423297316424156,0.06167295114382317,0.028750373369291024,0.037882463318809456,0.038805901342512744,0.011612115770970521,0.011427802842502532,0.013140399115167773,0.016172905101381023,0.05405267614773229,508.07361420036307,763.9339014849602,0.0,508.0440427790731,763.9424169463443,0.0,508.0,763.6315789473684,0.0,213.05263157894737,8
1,9,29,7.233524133916944,434.46451787813567,0.008758679032325745,0.006713969632983208,0.9257194442221277,0.035538263618946075,0.062485694885253906,0.010060534261358754,0.015682941121110915,0.015396352857351303,0.00032043945975601673,0.00015259021893143654,0.006382222691993483,0.009973848762530019,0.02240024507045746,123.8467350994854,925.7865949757942,0.0,124.67671371331625,926.1965852073782,0,107.0,927.0,0.0,0.3664854019559149,1.0255788609642407,0.02445324039054585,0.01274023092640885,0.2067946951136597,0.05103458810983033,0.06118446871124465,0.02775846919111694,0.036157291601579274,0.03651115632262723,0.012195115619949225,0.012127765454351902,0.011949621199570624,0.015440201911067975,0.05030860067826921,119.46042991479466,917.4145768784786,0.0,119.46912160980904,917.4191765239552,0.0,119.65517241379311,917.3793103448276,0.0,267.6551724137931,9
2,1,18,7.968108706641942,679.4153843300883,0.013168536126613617,0.008186465129256248,3.0347393558771034,0.03859006613492966,0.062485694885253906,0.01085573393275469,0.02155847641853366,0.02065308578312397,0.0,0.0,0.00675396644127401,0.011673524176524909,0.029388876631855965,737.9233965054252,97.10027085708836,0.0,739.6375376804696,94.59600190385531,0,783.0,170.0,0.0,0.33124369600166875,0.8545111629904972,0.02315577774101661,0.010674533692912923,0.20621700445532806,0.04994108300242159,0.057317125093605786,0.02735973692790956,0.034301576974045817,0.03441672373770012,0.012063104555838637,0.012023261541293727,0.011622953343168367,0.01427605111017305,0.04830222214675612,740.2537971687503,97.10996936745596,0.0,740.2392027240594,97.05954701568737,0.0,740.1666666666666,97.22222222222223,0.0,10.0,1
